instance,algorithm,variant,K,N,M,time_seconds,cost,num_influencers,covered_count,success,stdout_snippet
ninstance_347.txt,bt,todos,,25,20,0.187587,224,8,25,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Backtracking:
Influencers usados: 1 8 11 14 15 16 18 19
Costo total: 224"
ninstance_347.txt,bt,micro,5,25,20,0.062613,273,8,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Backtracking:
Influencers usados: 3 5 6 7 9 11 12 15
Costo total: 273"
ninstance_347.txt,bt,micro,10,25,20,0.131851,224,8,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Backtracking:
Influencers usados: 1 7 10 13 14 15 17 18
Costo total: 224"
ninstance_347.txt,bt,macro,5,25,20,0.004671,277,4,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Backtracking:
Influencers usados: 0 1 2 3
Costo total: 277"
ninstance_347.txt,bt,macro,10,25,20,0.004972,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_355.txt,fb,todos,,50,15,0.025370,449,3,50,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Fuerza Bruta:
Influencers usados: 0 1 2
Costo total: 449"
ninstance_355.txt,fb,micro,5,50,15,0.004564,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_355.txt,fb,micro,10,50,15,0.007816,471,11,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Fuerza Bruta:
Influencers usados: 0 1 3 4 5 6 7 8 9 10 11
Costo total: 471"
ninstance_355.txt,fb,macro,5,50,15,0.005079,449,3,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Fuerza Bruta:
Influencers usados: 0 1 2
Costo total: 449"
ninstance_355.txt,fb,macro,10,50,15,0.004783,449,3,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Fuerza Bruta:
Influencers usados: 0 1 2
Costo total: 449"
ninstance_355.txt,bt,todos,,50,15,0.024987,449,3,50,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Backtracking:
Influencers usados: 0 1 2
Costo total: 449"
ninstance_355.txt,bt,micro,5,50,15,0.005449,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_355.txt,bt,micro,10,50,15,0.007947,471,11,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Backtracking:
Influencers usados: 0 1 3 4 5 6 7 8 9 10 11
Costo total: 471"
ninstance_355.txt,bt,macro,5,50,15,0.004972,449,3,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Backtracking:
Influencers usados: 0 1 2
Costo total: 449"
ninstance_355.txt,bt,macro,10,50,15,0.004654,449,3,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Backtracking:
Influencers usados: 0 1 2
Costo total: 449"
ninstance_374.txt,fb,todos,,50,25,9.796893,766,15,50,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Fuerza Bruta:
Influencers usados: 4 7 8 9 10 11 12 13 15 16 17 20 22 23 24
Costo total: 766"
ninstance_374.txt,fb,micro,5,50,25,0.167737,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_374.txt,fb,micro,10,50,25,0.717306,786,18,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Fuerza Bruta:
Influencers usados: 0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19
Costo total: 786"
ninstance_374.txt,fb,macro,5,50,25,0.005744,1011,5,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Fuerza Bruta:
Influencers usados: 0 1 2 3 4
Costo total: 1011"
ninstance_374.txt,fb,macro,10,50,25,0.004875,1011,5,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Fuerza Bruta:
Influencers usados: 0 1 2 3 4
Costo total: 1011"
ninstance_374.txt,bt,todos,,50,25,9.762132,766,15,50,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Backtracking:
Influencers usados: 4 7 8 9 10 11 12 13 15 16 17 20 22 23 24
Costo total: 766"
ninstance_374.txt,bt,micro,5,50,25,0.098482,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_374.txt,bt,micro,10,50,25,0.514973,786,18,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Backtracking:
Influencers usados: 0 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19
Costo total: 786"
ninstance_374.txt,bt,macro,5,50,25,0.005152,1011,5,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Backtracking:
Influencers usados: 0 1 2 3 4
Costo total: 1011"
ninstance_374.txt,bt,macro,10,50,25,0.005758,1011,5,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Backtracking:
Influencers usados: 0 1 2 3 4
Costo total: 1011"
ninstance_375.txt,fb,todos,,100,10,0.004903,1545,2,100,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Fuerza Bruta:
Influencers usados: 0 1
Costo total: 1545"
ninstance_375.txt,fb,micro,5,100,10,0.005112,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_375.txt,fb,micro,10,100,10,0.005550,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_375.txt,fb,macro,5,100,10,0.005019,1545,2,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Fuerza Bruta:
Influencers usados: 0 1
Costo total: 1545"
ninstance_375.txt,fb,macro,10,100,10,0.004624,1545,2,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Fuerza Bruta:
Influencers usados: 0 1
Costo total: 1545"
ninstance_375.txt,bt,todos,,100,10,0.006869,1545,2,100,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Backtracking:
Influencers usados: 0 1
Costo total: 1545"
ninstance_375.txt,bt,micro,5,100,10,0.004377,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_375.txt,bt,micro,10,100,10,0.004483,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Backtracking:
Influencers usados: 
Costo total: 2147483647"
ninstance_375.txt,bt,macro,5,100,10,0.005457,1545,2,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 5
Solucion de Backtracking:
Influencers usados: 0 1
Costo total: 1545"
ninstance_375.txt,bt,macro,10,100,10,0.004552,1545,2,,,"=== Instancia cargada correctamente ===
[Modo MACRO] Influencers con |S_i| >= 10
Solucion de Backtracking:
Influencers usados: 0 1
Costo total: 1545"
ninstance_381.txt,fb,todos,,25,10,0.006404,168,2,25,1,"=== Instancia cargada correctamente ===
[Modo TODOS] Se consideran todos los influencers.
Solucion de Fuerza Bruta:
Influencers usados: 0 1
Costo total: 168"
ninstance_381.txt,fb,micro,5,25,10,0.004730,2147483647,0,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 5
Solucion de Fuerza Bruta:
Influencers usados: 
Costo total: 2147483647"
ninstance_381.txt,fb,micro,10,25,10,0.005206,238,6,,,"=== Instancia cargada correctamente ===
[Modo MICRO] Influencers con |S_i| < 10
Solucion de Fuerza Bruta:
Influencers usados: 1 2 3 4 5 6
Costo total: 238"
